,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
39,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,inference_test.csv,1,0,1,1,simple_rdf_prop,15017,440,12319,6.589448825618876e-09,12319,0,1.6613621038435604,1.4462315097440714,0,0,0
40,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_reification,train.csv,0,1,1,0,simple_rdf_reification,893177,10,3256764,9.428170386367585e-14,3256764,0,8.189370350062628,3.648985707673566,0,0,0
41,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_reification,inference_graph.csv,0,1,1,0,simple_rdf_reification,318834,11,821815,1.4806481634273439e-12,821815,0,7.655216608709583,2.5533911917342746,0,0,0
42,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_reification,inference_valid.csv,0,1,1,0,simple_rdf_reification,124716,8,244272,1.6759174521297588e-11,244272,0,3.9323867478025694,3.609806558394538,0,0,0
43,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_reification,inference_test.csv,0,1,1,0,simple_rdf_reification,44097,9,69798,2.0526459328194883e-10,69798,0,2.7089187301094464,3.201596257052429,0,0,0
44,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,train.csv,0,1,1,1,simple_rdf_reification,901568,11,3283837,9.273353517953557e-14,3283837,0,8.161639163314721,3.6494250829250072,0,0,0
45,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,inference_graph.csv,0,1,1,1,simple_rdf_reification,321593,12,828609,1.4564671970610234e-12,828609,0,7.638818943166769,2.5541814008893544,0,0,0
46,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,inference_valid.csv,0,1,1,1,simple_rdf_reification,125797,9,246180,1.650039972878359e-11,246180,0,3.9198140245844213,3.6108422071636013,0,0,0
47,simple-triple,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,inference_test.csv,0,1,1,1,simple_rdf_reification,44264,10,70342,2.0210198334309244e-10,70342,0,2.7253777605579232,3.203333485131381,0,0,0
48,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,train.csv,0,1,0,1,simple_rdf_prop,10253,227,21814,2.1014999422213604e-09,21814,0,2.345585857497036,2.4304702334413046,0,0,0
