,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
28,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_hyper_relational_rdf_star,transductive_train,1,0,1,0,hyper_relational_rdf_star,408247,111,1300899,5.908984357583147e-13,804347,251301,38.044351781652765,1.9804541620005625,274.6459016393443,1.0,1.862634063905957
29,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_train,1,0,1,0,hyper_relational_rdf_star,74505,71,153795,4.2278110269219704e-11,126360,26570,26.563670806146074,1.725229658792651,40.379939209726444,1.0,1.425276257912241
30,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_val,1,0,1,0,hyper_relational_rdf_star,28416,5,22994,1.891345828658336e-09,11362,11632,5.998944033790918,1.082095238095238,21.461254612546124,1.0,1.2562911761529323
31,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_ts,1,0,1,0,hyper_relational_rdf_star,15244,5,12116,6.812107152592617e-09,6033,6083,5.125743415463042,1.087811034980166,13.669662921348314,1.0,1.2622950819672132
32,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_hyper_relational_rdf_star,transductive_train,0,1,1,0,hyper_relational_rdf_star,397814,7,1275320,6.148393560174946e-13,779179,246707,38.624597233926536,1.9629713606223673,273.20819490586933,1.0,1.9006556189859862
33,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_train,0,1,1,0,hyper_relational_rdf_star,69367,8,142472,4.926528031088463e-11,116593,24934,28.653969034160728,1.6979233412943437,39.958333333333336,1.0,1.4365385723339286
34,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_val,0,1,1,0,hyper_relational_rdf_star,24640,5,20050,2.487546719236821e-09,10052,9998,5.329798515376458,1.0991798797156915,19.375968992248062,1.0,1.280973734785394
35,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_ts,0,1,1,0,hyper_relational_rdf_star,16417,6,13133,5.797918569265724e-09,6506,6627,5.783111111111111,1.0886880856760375,13.89308176100629,1.0,1.2589285714285714
36,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_hyper_relational_rdf_star,transductive_train,1,0,1,1,hyper_relational_rdf_star,409579,112,1303942,5.881437030647706e-13,806778,251913,36.90061400293255,1.9813385098363399,275.31475409836065,1.0,1.8613069113800593
37,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_train,1,0,1,1,hyper_relational_rdf_star,75010,72,154744,4.176114161667105e-11,127173,26704,25.494981934965878,1.7269340584636301,41.27357032457496,1.0,1.4290148231390807
38,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_val,1,0,1,1,hyper_relational_rdf_star,28554,6,23094,1.8750017484391304e-09,11417,11677,5.986890403775564,1.0884736390504337,21.30839416058394,1.0,1.257619816908993
39,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_ts,1,0,1,1,hyper_relational_rdf_star,15273,6,12208,6.709821374892858e-09,6080,6128,5.174468085106383,1.095100864553314,13.678571428571429,1.0,1.2666391070690368
40,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star,transductive_train,1,0,0,1,hyper_relational_rdf_star,7446,112,18001,3.086076846134143e-09,17384,612,2.40595256080979,6.2795741324921135,5.016393442622951,1.0,1.44
41,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_train,1,0,0,1,hyper_relational_rdf_star,2231,72,3944,6.428744821003173e-08,3776,133,2.043453724604966,4.71484375,1.9275362318840579,1.0,1.2547169811320755
42,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_val,1,0,0,1,hyper_relational_rdf_star,230,5,146,4.6913116907487336e-05,100,46,1.0416666666666667,2.5641025641025643,1.3529411764705883,1.0,1.2105263157894737
43,simple-triple+text+hr-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_ts,1,0,0,1,hyper_relational_rdf_star,205,6,122,6.718624025799516e-05,77,45,1.0405405405405406,2.081081081081081,1.40625,1.0,1.0975609756097562
44,simple-triple+text+hr-triple,kg_base_prop_0_subevent_0_role_1_causation_0_syntax_hyper_relational_rdf_star,transductive_train,0,0,1,0,hyper_relational_rdf_star,108244,7,283554,1.2437366832892557e-11,208588,65954,29.78552049121805,1.9402271479996651,87.35629139072847,1.0,1.9107132510574194
45,simple-triple+text+hr-triple,kg_base_prop_0_subevent_0_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_train,0,0,1,0,hyper_relational_rdf_star,27998,8,56533,3.128930632083171e-10,46150,9843,24.67914438502674,1.6819739048035571,19.3,1.0,1.4323341094295692
46,simple-triple+text+hr-triple,kg_base_prop_0_subevent_0_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_val,0,0,1,0,hyper_relational_rdf_star,9131,5,7190,1.9343818972804525e-08,3522,3668,5.717532467532467,1.0893906588308073,9.807486631016042,1.0,1.270963270963271
47,simple-triple+text+hr-triple,kg_base_prop_0_subevent_0_role_1_causation_0_syntax_hyper_relational_rdf_star,inductive_ts,0,0,1,0,hyper_relational_rdf_star,7286,5,5766,3.007812250915548e-08,2871,2895,5.427221172022684,1.0862656072644723,8.440233236151604,1.0,1.2736471623405192
