,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
45,simple-triple+text,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,train.txt,0,0,1,1,simple_rdf_reification,185047,11,403142,6.1529573955380115e-12,403142,0,3.679142140086699,3.0711135149959246,0,0,0
46,simple-triple+text,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,valid.txt,0,0,1,1,simple_rdf_reification,28364,11,55929,3.196876737359646e-10,55929,0,3.1255728177042585,3.073866446826051,0,0,0
47,simple-triple+text,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_reification,test.txt,0,0,1,1,simple_rdf_reification,22308,11,45430,4.845231437082562e-10,45430,0,3.2946551599100733,3.088165318469173,0,0,0
48,simple-triple+text,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,train.txt,0,1,0,0,simple_rdf_prop,5242,5,8264,1.4642639929752813e-08,8264,0,1.9405545112781954,7.8210227272727275,0,0,0
49,simple-triple+text,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,valid.txt,0,1,0,0,simple_rdf_prop,576,5,660,2.295684113865932e-06,660,0,1.3524590163934427,7.333333333333333,0,0,0
50,simple-triple+text,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop,test.txt,0,1,0,0,simple_rdf_prop,267,6,336,8.857709750566894e-06,336,0,1.8360655737704918,3.6923076923076925,0,0,0
51,simple-triple+text,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,train.txt,0,0,1,1,simple_rdf_prop,108833,762,167876,3.5483199632930443e-11,167876,0,2.259404314881361,3.007937503359553,0,0,0
52,simple-triple+text,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,valid.txt,0,0,1,1,simple_rdf_prop,15787,492,23343,1.8352137731971502e-09,23343,0,2.155003692762186,3.0205745341614905,0,0,0
53,simple-triple+text,kg_base_prop_0_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,test.txt,0,0,1,1,simple_rdf_prop,12607,469,18706,2.857841509574072e-09,18706,0,2.151351351351351,3.020507024059422,0,0,0
54,simple-triple+text,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop,train.txt,1,0,0,1,simple_rdf_prop,7320,233,15575,4.122340768146673e-09,15575,0,1.9532309395323093,8.052481460353679,0,0,0
